source_file,freesound_id,freesound_url,freesound_name,uploader,recordist,source_licence,source_licence_url,pack,good_sounds_id,waveform_match_r,runner_up_r,checked
sfzinstruments/MTG.SoloSax/MTG Solo Saxophones/Samples/bar_p_17.flac,360037,https://freesound.org/people/MTG/sounds/360037/,Sax Baritone - G2,MTG,"Music Technology Group, Universitat Pompeu Fabra (good-sounds.org)",CC-BY-3.0,http://creativecommons.org/licenses/by/3.0/,https://freesound.org/people/MTG/packs/20253/,5324,0.9472,0.7601,2026-09-24
sfzinstruments/MTG.SoloSax/MTG Solo Saxophones/Samples/bar_p_18.flac,360038,https://freesound.org/people/MTG/sounds/360038/,Sax Baritone - G#2,MTG,"Music Technology Group, Universitat Pompeu Fabra (good-sounds.org)",CC-BY-3.0,http://creativecommons.org/licenses/by/3.0/,https://freesound.org/people/MTG/packs/20253/,5325,1.0,0.2592,2026-09-24
sfzinstruments/MTG.SoloSax/MTG Solo Saxophones/Samples/bar_p_19.flac,360039,https://freesound.org/people/MTG/sounds/360039/,Sax Baritone - A2,MTG,"Music Technology Group, Universitat Pompeu Fabra (good-sounds.org)",CC-BY-3.0,http://creativecommons.org/licenses/by/3.0/,https://freesound.org/people/MTG/packs/20253/,5326,0.9809,0.5094,2026-09-24
sfzinstruments/MTG.SoloSax/MTG Solo Saxophones/Samples/bar_p_20.flac,360040,https://freesound.org/people/MTG/sounds/360040/,Sax Baritone - A#2,MTG,"Music Technology Group, Universitat Pompeu Fabra (good-sounds.org)",CC-BY-3.0,http://creativecommons.org/licenses/by/3.0/,https://freesound.org/people/MTG/packs/20253/,5327,0.991,0.1506,2026-09-24
sfzinstruments/MTG.SoloSax/MTG Solo Saxophones/Samples/bar_p_21.flac,360041,https://freesound.org/people/MTG/sounds/360041/,Sax Baritone - B2,MTG,"Music Technology Group, Universitat Pompeu Fabra (good-sounds.org)",CC-BY-3.0,http://creativecommons.org/licenses/by/3.0/,https://freesound.org/people/MTG/packs/20253/,5328,1.0,0.3535,2026-09-24
sfzinstruments/MTG.SoloSax/MTG Solo Saxophones/Samples/bar_p_22.flac,360042,https://freesound.org/people/MTG/sounds/360042/,Sax Baritone - C3,MTG,"Music Technology Group, Universitat Pompeu Fabra (good-sounds.org)",CC-BY-3.0,http://creativecommons.org/licenses/by/3.0/,https://freesound.org/people/MTG/packs/20253/,5329,1.0,0.2441,2026-09-24
sfzinstruments/MTG.SoloSax/MTG Solo Saxophones/Samples/bar_p_23.flac,360043,https://freesound.org/people/MTG/sounds/360043/,Sax Baritone - C#3,MTG,"Music Technology Group, Universitat Pompeu Fabra (good-sounds.org)",CC-BY-3.0,http://creativecommons.org/licenses/by/3.0/,https://freesound.org/people/MTG/packs/20253/,5330,1.0,0.4163,2026-09-24
sfzinstruments/MTG.SoloSax/MTG Solo Saxophones/Samples/bar_p_24.flac,360044,https://freesound.org/people/MTG/sounds/360044/,Sax Baritone - D3,MTG,"Music Technology Group, Universitat Pompeu Fabra (good-sounds.org)",CC-BY-3.0,http://creativecommons.org/licenses/by/3.0/,https://freesound.org/people/MTG/packs/20253/,5331,0.9968,0.1845,2026-09-24
sfzinstruments/MTG.SoloSax/MTG Solo Saxophones/Samples/bar_p_25.flac,360045,https://freesound.org/people/MTG/sounds/360045/,Sax Baritone - D#3,MTG,"Music Technology Group, Universitat Pompeu Fabra (good-sounds.org)",CC-BY-3.0,http://creativecommons.org/licenses/by/3.0/,https://freesound.org/people/MTG/packs/20253/,5332,0.9931,0.1355,2026-09-24
sfzinstruments/MTG.SoloSax/MTG Solo Saxophones/Samples/bar_p_26.flac,360046,https://freesound.org/people/MTG/sounds/360046/,Sax Baritone - E3,MTG,"Music Technology Group, Universitat Pompeu Fabra (good-sounds.org)",CC-BY-3.0,http://creativecommons.org/licenses/by/3.0/,https://freesound.org/people/MTG/packs/20253/,5333,0.9971,0.0636,2026-09-24
